Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
APH,Amphenol Corporation,107.79,$31.96B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph
APHA,Aphria Inc.,5.31,$1.34B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/apha
APLE,"Apple Hospitality REIT, Inc.",16,$3.58B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple
APO,"Apollo Global Management, Inc",46.48,$18.72B,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, Inc",26.58,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, Inc",27.0829,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/apo^b
APRN,"Blue Apron Holdings, Inc.",7.17,$94.44M,2017,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/aprn
APTS,"Preferred Apartment Communities, Inc.",13.27,$607.93M,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/apts
APTV,Aptiv PLC,94.96,$24.24B,2011,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv
APY,Apergy Corporation,29.23,$2.26B,2018,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/apy
AQN,Algonquin Power & Utilities Corp.,14.25,$7.47B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,27.55,n/a,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,26.95,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb
AQUA,Evoqua Water Technologies Corp.,19.71,$2.25B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aqua
AR,Antero Resources Corporation,2.68,$797.7M,2013,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar
ARA,"American Renal Associates Holdings, Inc",9.99,$325.76M,2016,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara
ARC,"ARC Document Solutions, Inc.",1.21,$55.52M,2004,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc
ARCH,"Arch Coal, Inc.",76.69,$1.15B,2016,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch
ARCO,Arcos Dorados Holdings Inc.,7.97,$1.63B,2011,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco
ARD,Ardagh Group S.A.,19.63,$4.64B,2017,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",14.84,$340.06M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ardc
ARE,"Alexandria Real Estate Equities, Inc.",156.37,$18.01B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are
ARES,Ares Management Corporation,33.69,$7.8B,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/ares
ARES^A,Ares Management Corporation,26.64,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ares^a
ARGD,"Argo Group International Holdings, Ltd.",25.595,n/a,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argd
ARGO,"Argo Group International Holdings, Ltd.",66.31,$2.28B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argo
ARI,Apollo Commercial Real Estate Finance,18.56,$2.85B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari
ARL,"American Realty Investors, Inc.",16.15,$258.35M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl
ARLO,"Arlo Technologies, Inc.",4.05,$306.62M,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/arlo
ARMK,Aramark,43.75,$10.91B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk
ARNC,Arconic Inc.,31.8,$13.77B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/arnc
AROC,"Archrock, Inc.",9.38,$1.42B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc
ARR,"ARMOUR Residential REIT, Inc.",17.34,$1.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/arr
ARR^B,"ARMOUR Residential REIT, Inc.",25.075,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/arr^b
ARW,"Arrow Electronics, Inc.",84.99,$6.92B,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/arw
ASA,ASA Gold and Precious Metals Limited,12.66,$244.21M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asa
ASB,Associated Banc-Corp,22.39,$3.57B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/asb
ASB^C,Associated Banc-Corp,25.9705,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asb^c
ASB^D,Associated Banc-Corp,25.694,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asb^d
ASB^E,Associated Banc-Corp,26.32,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asb^e
ASC,Ardmore Shipping Corporation,8.2,$271.4M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc
