Symbol,Name, Sector,Industry,Summary_quote
MFC,Manulife Financial Corp,Finance,Life Insurance,https://old.nasdaq.com/symbol/mfc
MFD,Macquarie First Trust Global,n/a,n/a,https://old.nasdaq.com/symbol/mfd
MFG,"Mizuho Financial Group, Inc.",Finance,Major Banks,https://old.nasdaq.com/symbol/mfg
MFGP,Micro Focus Intl PLC,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mfgp
MFL,Blackrock MuniHoldings Investment Quality Fund,n/a,n/a,https://old.nasdaq.com/symbol/mfl
MFM,MFS Municipal Income Trust,n/a,n/a,https://old.nasdaq.com/symbol/mfm
MFO,"MFA Financial, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mfo
MFT,Blackrock MuniYield Investment QualityFund,n/a,n/a,https://old.nasdaq.com/symbol/mft
MFV,MFS Special Value Trust,n/a,n/a,https://old.nasdaq.com/symbol/mfv
MG,Mistras Group Inc,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/mg
MGA,"Magna International, Inc.",Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mga
MGF,MFS Government Markets Income Trust,n/a,n/a,https://old.nasdaq.com/symbol/mgf
MGM,MGM Resorts International,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mgm
MGP,MGM Growth Properties LLC,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mgp
MGR,"Affiliated Managers Group, Inc.",Finance,Investment Managers,https://old.nasdaq.com/symbol/mgr
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,n/a,n/a,https://old.nasdaq.com/symbol/mgu
MGY,Magnolia Oil & Gas Corporation,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mgy
MH^A,"Maiden Holdings, Ltd.",n/a,n/a,https://old.nasdaq.com/symbol/mh^a
MH^C,"Maiden Holdings, Ltd.",n/a,n/a,https://old.nasdaq.com/symbol/mh^c
MH^D,"Maiden Holdings, Ltd.",n/a,n/a,https://old.nasdaq.com/symbol/mh^d
